"assoc_ID","pub_count","first_pub_date","pub_date"
127777,1,"2018-06-11","2018-06-11"
69387,1,"2018-10-08","2018-10-08"
236854,1,"2021-04-22","2021-04-22"
233418,1,"2021-02-24","2021-02-24"
226878,1,"2021-02-24","2021-02-24"
21254,1,"2015-10-26","2015-10-26"
206484,1,"2018-02-26","2018-02-26"
215603,1,"2019-02-04","2019-02-04"
3095,1,"2016-05-16","2016-05-16"
21793,1,"2012-11-01","2012-11-01"
125685,1,"2021-01-04","2021-01-04"
42207,1,"2009-11-01","2009-11-01"
38205,1,"2019-08-13","2019-08-13"
179466,1,"2011-04-03","2011-04-03"
200133,1,"2011-05-31","2011-05-31"
183622,1,"2009-06-14","2009-06-14"
21794,1,"2012-11-01","2012-11-01"
251982,1,"2015-07-20","2015-07-20"
81165,1,"2011-01-18","2011-01-18"
80131,1,"2011-08-11","2011-08-11"
215604,1,"2019-02-04","2019-02-04"
111903,1,"2019-01-14","2019-01-14"
211301,1,"2019-03-28","2019-03-28"
103395,3,"2014-05-18","2016-03-08"
252262,1,"2015-07-20","2015-07-20"
82924,1,"2010-11-21","2010-11-21"
21795,1,"2012-11-01","2012-11-01"
227565,1,"2020-01-20","2020-01-20"
263450,1,"2017-01-24","2017-01-24"
53319,1,"2019-10-17","2019-10-17"
204830,1,"2018-11-30","2018-11-30"
99404,1,"2013-12-25","2013-12-25"
89207,1,"2018-06-16","2018-06-16"
111286,1,"2020-04-15","2020-04-15"
156229,1,"2021-05-17","2021-05-17"
103946,1,"2018-02-17","2018-02-17"
120619,1,"2020-06-08","2020-06-08"
211980,1,"2017-07-17","2017-07-17"
78990,1,"2018-06-11","2018-06-11"
37949,1,"2019-09-16","2019-09-16"
155741,1,"2021-05-17","2021-05-17"
82976,1,"2010-11-21","2010-11-21"
16223,1,"2015-09-15","2015-09-15"
199772,1,"2012-07-26","2012-07-26"
39915,1,"2019-06-07","2019-06-07"
101015,1,"2016-12-19","2016-12-19"
21796,1,"2012-11-01","2012-11-01"
250854,1,"2015-07-20","2015-07-20"
178058,1,"2021-04-08","2021-04-08"
178059,1,"2021-04-08","2021-04-08"
32011,1,"2016-11-29","2016-11-29"
178060,1,"2021-04-08","2021-04-08"
127783,1,"2018-06-11","2018-06-11"
69388,1,"2018-10-08","2018-10-08"
215605,1,"2019-02-04","2019-02-04"
38673,1,"2019-05-31","2019-05-31"
85651,1,"2015-04-09","2015-04-09"
178061,1,"2021-04-08","2021-04-08"
111287,2,"2019-03-28","2020-04-15"
228513,1,"2020-12-03","2020-12-03"
53303,1,"2019-10-17","2019-10-17"
11883,3,"2013-04-01","2017-10-23"
38027,1,"2019-06-07","2019-06-07"
252223,1,"2015-07-20","2015-07-20"
21797,1,"2012-11-01","2012-11-01"
227649,1,"2020-01-20","2020-01-20"
155743,1,"2021-05-17","2021-05-17"
62287,1,"2019-05-01","2019-05-01"
306003,2,"2015-02-02","2015-02-02"
156174,1,"2021-05-17","2021-05-17"
78991,1,"2018-06-11","2018-06-11"
227883,1,"2020-12-03","2020-12-03"
159818,1,"2021-06-14","2021-06-14"
81299,1,"2009-09-20","2009-09-20"
120659,1,"2020-06-08","2020-06-08"
22985,1,"2015-05-05","2015-05-05"
78491,2,"2008-02-10","2018-06-11"
28557,2,"2008-02-10","2015-06-01"
161040,2,"2011-07-08","2021-07-21"
122815,1,"2021-01-04","2021-01-04"
122753,1,"2021-01-04","2021-01-04"
114483,1,"2019-02-25","2019-02-25"
27005,1,"2015-03-31","2015-03-31"
13358,2,"2010-12-05","2017-06-09"
192240,2,"2010-05-09","2013-04-01"
87380,1,"2015-04-01","2015-04-01"
135223,1,"2020-08-12","2020-08-12"
162970,1,"2021-07-21","2021-07-21"
16539,2,"2015-04-01","2017-10-23"
69390,1,"2018-10-08","2018-10-08"
134612,1,"2020-06-08","2020-06-08"
113296,1,"2020-05-06","2020-05-06"
236855,1,"2021-04-22","2021-04-22"
156220,2,"2019-05-01","2021-05-17"
215606,1,"2019-02-04","2019-02-04"
21256,1,"2015-10-26","2015-10-26"
83339,1,"2012-03-25","2012-03-25"
219197,1,"2019-02-04","2019-02-04"
134613,1,"2020-06-08","2020-06-08"
82252,2,"2010-06-27","2010-06-27"
69391,1,"2018-10-08","2018-10-08"
113297,1,"2020-05-06","2020-05-06"
216963,1,"2020-06-08","2020-06-08"
227884,1,"2020-12-03","2020-12-03"
201792,1,"2013-07-14","2013-07-14"
252531,1,"2016-05-01","2016-05-01"
222404,1,"2019-05-14","2019-05-14"
89208,2,"2012-05-27","2018-06-16"
222384,1,"2019-05-14","2019-05-14"
78988,1,"2018-06-11","2018-06-11"
52911,1,"2019-10-17","2019-10-17"
227659,1,"2020-01-20","2020-01-20"
235807,2,"2014-11-19","2021-09-07"
78992,1,"2018-06-11","2018-06-11"
298566,1,"2011-09-10","2011-09-10"
227664,1,"2020-01-20","2020-01-20"
211303,2,"2019-03-28","2019-03-28"
77577,1,"2018-07-16","2018-07-16"
111288,2,"2016-05-16","2020-04-15"
21798,1,"2012-11-01","2012-11-01"
252233,1,"2015-07-20","2015-07-20"
304330,2,"2011-02-06","2015-07-20"
211304,1,"2019-03-28","2019-03-28"
115285,1,"2019-07-30","2019-07-30"
211305,1,"2019-03-28","2019-03-28"
82987,1,"2010-11-21","2010-11-21"
53312,1,"2019-10-17","2019-10-17"
36983,1,"2017-09-01","2017-09-01"
219582,1,"2019-01-21","2019-01-21"
155750,1,"2021-05-17","2021-05-17"
2069,1,"2017-10-23","2017-10-23"
166227,1,"2020-11-25","2020-11-25"
42303,1,"2017-09-11","2017-09-11"
8561,1,"2016-05-16","2016-05-16"
38204,1,"2019-08-13","2019-08-13"
79360,2,"2009-09-06","2009-09-06"
21799,1,"2012-11-01","2012-11-01"
164672,1,"2021-07-21","2021-07-21"
70750,1,"2019-12-09","2019-12-09"
145257,1,"2020-03-30","2020-03-30"
215607,1,"2019-02-04","2019-02-04"
164673,1,"2021-07-21","2021-07-21"
79357,3,"2009-07-05","2009-07-05"
203966,1,"2010-04-21","2010-04-21"
39936,1,"2019-06-07","2019-06-07"
51858,2,"2016-01-29","2019-06-07"
145244,1,"2020-03-30","2020-03-30"
70731,1,"2019-12-09","2019-12-09"
70728,1,"2019-12-09","2019-12-09"
82266,1,"2010-06-27","2010-06-27"
113298,1,"2020-05-06","2020-05-06"
69392,2,"2012-09-01","2018-10-08"
69043,1,"2020-01-07","2020-01-07"
99869,1,"2013-12-25","2013-12-25"
251956,2,"2012-11-01","2015-07-20"
36169,1,"2017-07-17","2017-07-17"
216370,1,"2020-07-28","2020-07-28"
146484,1,"2016-08-22","2016-08-22"
227891,1,"2020-12-03","2020-12-03"
114487,1,"2019-02-25","2019-02-25"
210832,1,"2018-10-03","2018-10-03"
227892,1,"2020-12-03","2020-12-03"
40978,1,"2015-10-21","2015-10-21"
219234,1,"2019-02-04","2019-02-04"
134615,1,"2020-06-08","2020-06-08"
113306,1,"2020-05-06","2020-05-06"
73641,1,"2018-10-08","2018-10-08"
159770,1,"2021-06-14","2021-06-14"
205589,2,"2018-02-26","2018-02-26"
216345,1,"2020-07-17","2020-07-17"
216349,1,"2020-07-17","2020-07-17"
190331,1,"2013-01-31","2013-01-31"
306001,1,"2015-02-02","2015-02-02"
121234,1,"2020-06-08","2020-06-08"
216339,1,"2020-07-17","2020-07-17"
151416,1,"2020-05-18","2020-05-18"
32013,1,"2016-11-29","2016-11-29"
120686,1,"2020-05-29","2020-05-29"
188498,1,"2012-02-01","2012-02-01"
178475,1,"2021-04-29","2021-04-29"
120676,1,"2020-05-29","2020-05-29"
99428,1,"2013-12-25","2013-12-25"
216371,1,"2020-07-28","2020-07-28"
217977,1,"2020-10-14","2020-10-14"
89211,2,"2015-07-07","2018-06-16"
133218,1,"2018-08-09","2018-08-09"
193146,1,"2012-04-06","2012-04-06"
101009,2,"2013-06-01","2016-12-19"
144705,1,"2020-03-30","2020-03-30"
165092,1,"2020-10-26","2020-10-26"
120066,1,"2021-02-03","2021-02-03"
77602,1,"2018-07-16","2018-07-16"
6703,1,"2016-05-16","2016-05-16"
121366,1,"2021-02-03","2021-02-03"
41705,1,"2017-07-17","2017-07-17"
21258,1,"2015-10-26","2015-10-26"
222407,1,"2019-05-14","2019-05-14"
115275,1,"2019-07-30","2019-07-30"
37959,1,"2019-09-16","2019-09-16"
252422,1,"2015-07-20","2015-07-20"
278054,1,"2010-02-28","2010-02-28"
16224,1,"2015-09-15","2015-09-15"
111297,1,"2020-04-15","2020-04-15"
198355,1,"2014-06-11","2014-06-11"
178477,1,"2021-04-29","2021-04-29"
120637,1,"2020-06-08","2020-06-08"
190329,1,"2013-01-31","2013-01-31"
120646,1,"2020-06-08","2020-06-08"
178478,1,"2021-04-29","2021-04-29"
290741,1,"2009-08-18","2009-08-18"
216335,1,"2020-07-17","2020-07-17"
190503,1,"2011-10-05","2011-10-05"
121847,1,"2020-06-08","2020-06-08"
178479,1,"2021-04-29","2021-04-29"
280265,2,"2007-06-06","2007-06-06"
163031,1,"2021-03-22","2021-03-22"
216337,1,"2020-07-17","2020-07-17"
113308,1,"2020-05-06","2020-05-06"
216334,1,"2020-07-17","2020-07-17"
216336,1,"2020-07-17","2020-07-17"
298738,1,"2012-07-01","2012-07-01"
178480,1,"2021-04-29","2021-04-29"
227894,1,"2020-12-03","2020-12-03"
216340,1,"2020-07-17","2020-07-17"
216341,1,"2020-07-17","2020-07-17"
113309,1,"2020-05-06","2020-05-06"
127419,1,"2020-03-17","2020-03-17"
78685,2,"2013-04-01","2018-06-11"
236864,1,"2021-04-22","2021-04-22"
178991,1,"2021-05-14","2021-05-14"
118209,1,"2020-06-08","2020-06-08"
7899,1,"2017-04-17","2017-04-17"
88768,3,"2017-04-17","2018-06-11"
89297,1,"2018-06-11","2018-06-11"
151427,1,"2020-05-18","2020-05-18"
133219,1,"2018-08-09","2018-08-09"
58124,1,"2019-11-22","2019-11-22"
58141,1,"2019-11-22","2019-11-22"
192241,2,"2013-04-01","2013-04-01"
222408,1,"2019-05-14","2019-05-14"
25371,1,"2015-07-07","2015-07-07"
113310,1,"2020-05-06","2020-05-06"
134616,2,"2019-02-04","2020-06-08"
73642,1,"2018-10-08","2018-10-08"
33736,1,"2016-05-05","2016-05-05"
2038,1,"2017-10-23","2017-10-23"
139144,1,"2018-10-03","2018-10-03"
215612,1,"2019-02-04","2019-02-04"
227896,1,"2020-12-03","2020-12-03"
77609,1,"2018-07-16","2018-07-16"
134617,2,"2019-02-04","2020-06-08"
111298,1,"2020-04-15","2020-04-15"
113311,1,"2020-05-06","2020-05-06"
53318,1,"2019-10-17","2019-10-17"
211316,1,"2019-03-28","2019-03-28"
73645,1,"2018-10-08","2018-10-08"
73646,1,"2018-10-08","2018-10-08"
36151,2,"2017-07-17","2017-07-17"
73647,1,"2018-10-08","2018-10-08"
82264,1,"2010-06-27","2010-06-27"
178063,1,"2021-04-08","2021-04-08"
79497,1,"2011-02-01","2011-02-01"
42330,3,"2014-07-27","2017-09-11"
211744,1,"2018-07-30","2018-07-30"
73650,1,"2018-10-08","2018-10-08"
207701,1,"2018-10-03","2018-10-03"
205585,1,"2018-02-26","2018-02-26"
98569,1,"2013-08-25","2013-08-25"
77595,1,"2018-07-16","2018-07-16"
61370,1,"2019-10-24","2019-10-24"
136664,1,"2017-07-17","2017-07-17"
89647,1,"2018-06-11","2018-06-11"
41706,1,"2017-07-17","2017-07-17"
118347,1,"2021-02-03","2021-02-03"
120067,1,"2021-02-03","2021-02-03"
13361,2,"2010-12-05","2017-06-09"
21801,1,"2012-11-01","2012-11-01"
173074,1,"2020-12-03","2020-12-03"
78996,1,"2018-06-11","2018-06-11"
73631,1,"2018-10-08","2018-10-08"
227890,1,"2020-12-03","2020-12-03"
125686,1,"2021-01-04","2021-01-04"
21259,1,"2015-10-26","2015-10-26"
213434,1,"2017-07-17","2017-07-17"
227897,1,"2020-12-03","2020-12-03"
81414,1,"2009-10-18","2009-10-18"
79000,1,"2018-06-11","2018-06-11"
73651,1,"2018-10-08","2018-10-08"
211745,1,"2018-07-30","2018-07-30"
16543,2,"2013-04-01","2017-10-23"
78997,1,"2018-06-11","2018-06-11"
216958,1,"2020-06-08","2020-06-08"
121362,1,"2021-02-03","2021-02-03"
136671,1,"2017-07-17","2017-07-17"
236858,1,"2021-04-22","2021-04-22"
204812,1,"2018-02-26","2018-02-26"
98554,1,"2013-08-25","2013-08-25"
155854,1,"2021-05-17","2021-05-17"
204738,1,"2018-02-26","2018-02-26"
62271,1,"2019-05-01","2019-05-01"
222172,1,"2018-04-26","2018-04-26"
215610,1,"2019-02-04","2019-02-04"
207694,1,"2018-10-03","2018-10-03"
236859,1,"2021-04-22","2021-04-22"
210115,1,"2018-07-30","2018-07-30"
236860,1,"2021-04-22","2021-04-22"
89289,1,"2018-06-11","2018-06-11"
211737,1,"2018-07-30","2018-07-30"
210830,1,"2018-10-03","2018-10-03"
118128,1,"2017-12-01","2017-12-01"
211738,1,"2018-07-30","2018-07-30"
89298,1,"2018-06-11","2018-06-11"
133216,1,"2018-08-09","2018-08-09"
13359,2,"2011-10-18","2017-06-09"
73632,1,"2018-10-08","2018-10-08"
13360,1,"2017-06-09","2017-06-09"
131656,1,"2018-04-09","2018-04-09"
113300,1,"2020-05-06","2020-05-06"
218379,1,"2019-02-04","2019-02-04"
134618,1,"2020-06-08","2020-06-08"
73633,2,"2012-09-01","2018-10-08"
120623,1,"2020-06-08","2020-06-08"
58123,1,"2019-11-22","2019-11-22"
87385,2,"2013-04-01","2015-04-01"
159769,1,"2021-06-14","2021-06-14"
113301,1,"2020-05-06","2020-05-06"
303701,1,"2016-01-28","2016-01-28"
134619,2,"2019-02-04","2020-06-08"
264168,1,"2017-04-17","2017-04-17"
89320,2,"2018-06-11","2018-06-11"
196159,1,"2013-10-24","2013-10-24"
277678,1,"2009-11-15","2009-11-15"
252241,1,"2015-07-20","2015-07-20"
42305,2,"2014-07-27","2017-09-11"
287564,2,"2011-02-01","2012-03-15"
247564,1,"2015-07-20","2015-07-20"
252249,1,"2015-07-20","2015-07-20"
287563,1,"2012-03-15","2012-03-15"
21833,1,"2012-11-01","2012-11-01"
82902,1,"2010-11-21","2010-11-21"
227889,1,"2020-12-03","2020-12-03"
121742,1,"2020-06-08","2020-06-08"
69399,1,"2018-10-08","2018-10-08"
59719,2,"2018-12-06","2019-12-11"
59682,1,"2019-12-11","2019-12-11"
104610,1,"2018-02-17","2018-02-17"
103397,4,"2012-12-23","2016-03-08"
69400,1,"2018-10-08","2018-10-08"
59680,1,"2019-12-11","2019-12-11"
223799,1,"2019-05-14","2019-05-14"
113299,1,"2020-05-06","2020-05-06"
69401,1,"2018-10-08","2018-10-08"
69402,1,"2018-10-08","2018-10-08"
89210,1,"2018-06-16","2018-06-16"
69403,1,"2018-10-08","2018-10-08"
29435,1,"2016-06-20","2016-06-20"
6621,1,"2016-05-16","2016-05-16"
280349,1,"2011-12-04","2011-12-04"
62684,1,"2019-10-24","2019-10-24"
236861,1,"2021-04-22","2021-04-22"
111292,1,"2020-04-15","2020-04-15"
21802,1,"2012-11-01","2012-11-01"
18635,1,"2013-06-01","2013-06-01"
78494,2,"2014-09-14","2018-06-11"
251630,1,"2016-06-21","2016-06-21"
78495,2,"2011-07-10","2018-06-11"
161043,1,"2021-07-21","2021-07-21"
113302,1,"2020-05-06","2020-05-06"
77614,1,"2018-07-16","2018-07-16"
82812,1,"2010-10-24","2010-10-24"
222406,1,"2019-05-14","2019-05-14"
39939,1,"2019-06-07","2019-06-07"
78683,2,"2011-07-08","2018-06-11"
122816,1,"2021-01-04","2021-01-04"
122755,1,"2021-01-04","2021-01-04"
125687,1,"2021-01-04","2021-01-04"
236862,1,"2021-04-22","2021-04-22"
121337,1,"2021-02-03","2021-02-03"
211310,2,"2019-03-28","2019-03-28"
210141,1,"2018-07-30","2018-07-30"
8557,1,"2016-05-16","2016-05-16"
193236,1,"2011-07-31","2011-07-31"
37955,1,"2019-09-16","2019-09-16"
211311,2,"2019-03-28","2019-03-28"
99865,1,"2013-12-25","2013-12-25"
21944,1,"2012-09-06","2012-09-06"
193235,1,"2011-07-31","2011-07-31"
112655,1,"2020-07-23","2020-07-23"
193895,1,"2010-07-01","2010-07-01"
216971,1,"2020-06-08","2020-06-08"
227651,1,"2020-01-20","2020-01-20"
211312,1,"2019-03-28","2019-03-28"
115277,1,"2019-07-30","2019-07-30"
18209,1,"2017-05-12","2017-05-12"
80743,1,"2007-06-07","2007-06-07"
280268,1,"2007-06-06","2007-06-06"
98115,1,"2015-01-08","2015-01-08"
97702,1,"2015-01-08","2015-01-08"
23361,1,"2015-04-23","2015-04-23"
211740,2,"2018-06-11","2018-07-30"
118211,1,"2020-06-08","2020-06-08"
118153,1,"2020-06-08","2020-06-08"
29468,1,"2016-06-20","2016-06-20"
53285,1,"2019-10-17","2019-10-17"
227559,2,"2019-03-28","2020-01-20"
111294,1,"2020-04-15","2020-04-15"
6610,1,"2016-05-16","2016-05-16"
211314,2,"2019-03-28","2019-03-28"
29502,5,"2011-06-12","2016-06-20"
202770,1,"2011-11-04","2011-11-04"
223828,1,"2019-05-14","2019-05-14"
205622,1,"2018-02-26","2018-02-26"
178062,1,"2021-04-08","2021-04-08"
40976,1,"2015-10-21","2015-10-21"
103396,2,"2014-05-18","2016-03-08"
223795,1,"2019-05-14","2019-05-14"
80194,3,"2009-06-14","2011-08-11"
227270,1,"2018-03-21","2018-03-21"
250880,1,"2015-07-20","2015-07-20"
78998,1,"2018-06-11","2018-06-11"
82263,1,"2010-06-27","2010-06-27"
2554,1,"2012-09-01","2012-09-01"
73634,1,"2018-10-08","2018-10-08"
121744,1,"2020-06-08","2020-06-08"
113303,1,"2020-05-06","2020-05-06"
196868,1,"2014-08-07","2014-08-07"
73635,1,"2018-10-08","2018-10-08"
236863,1,"2021-04-22","2021-04-22"
304318,1,"2015-07-20","2015-07-20"
21803,1,"2012-11-01","2012-11-01"
82351,1,"2011-02-06","2011-02-06"
7660,1,"2016-05-16","2016-05-16"
219584,1,"2019-01-21","2019-01-21"
103389,1,"2016-03-08","2016-03-08"
211741,1,"2018-07-30","2018-07-30"
210117,1,"2018-07-30","2018-07-30"
89617,1,"2018-06-11","2018-06-11"
61369,1,"2019-10-24","2019-10-24"
2555,1,"2012-09-01","2012-09-01"
113304,1,"2020-05-06","2020-05-06"
73636,1,"2018-10-08","2018-10-08"
111295,1,"2020-04-15","2020-04-15"
82429,1,"2008-03-30","2008-03-30"
309886,1,"2015-09-29","2015-09-29"
89293,1,"2018-06-11","2018-06-11"
211742,1,"2018-07-30","2018-07-30"
114486,1,"2019-02-25","2019-02-25"
127780,1,"2018-06-11","2018-06-11"
215611,1,"2019-02-04","2019-02-04"
2065,1,"2017-10-23","2017-10-23"
279952,1,"2009-05-31","2009-05-31"
121364,1,"2021-02-03","2021-02-03"
41704,1,"2017-07-17","2017-07-17"
216959,1,"2020-06-08","2020-06-08"
216342,1,"2020-07-17","2020-07-17"
78999,1,"2018-06-11","2018-06-11"
204741,1,"2018-02-26","2018-02-26"
219585,1,"2019-01-21","2019-01-21"
227665,1,"2020-01-20","2020-01-20"
120675,1,"2020-05-29","2020-05-29"
73637,1,"2018-10-08","2018-10-08"
10293,4,"2013-04-01","2017-10-23"
73640,1,"2018-10-08","2018-10-08"
113305,1,"2020-05-06","2020-05-06"
80137,1,"2011-08-11","2011-08-11"
189756,1,"2009-05-10","2009-05-10"
13928,1,"2017-06-12","2017-06-12"
111302,1,"2020-04-15","2020-04-15"
227668,1,"2020-01-20","2020-01-20"
79819,1,"2011-06-23","2011-06-23"
213373,1,"2019-03-28","2019-03-28"
228694,1,"2021-02-03","2021-02-03"
8562,1,"2016-05-16","2016-05-16"
204822,1,"2018-11-30","2018-11-30"
135506,1,"2019-01-19","2019-01-19"
149362,1,"2017-06-06","2017-06-06"
