"var"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"X2.5.."	"X97.5.."
"(Intercept)"	2.4620607685292	0.407626095597057	6.03999791751059	1.54116216725925e-09	1.66312830200028	3.26099323505811
"cases"	0.000129136960224466	7.96045391169675e-06	16.2223111466945	3.50744431423404e-59	0.000113534757256949	0.000144739163191983
"cat_LOG10_P"	0.0667101692067141	0.00297484722764193	22.4247378443004	2.25821970103376e-111	0.0608795757810271	0.0725407626324011
"cat_OR"	0.852614956312425	0.116846315620744	7.29689209097373	2.94490789060768e-13	0.623600385969568	1.08162952665528
"category_stringdermatologic"	-0.0955694721830464	0.124802621427295	-0.765764942194916	0.443816177599484	-0.340178115356731	0.149039170990638
"category_stringdigestive"	-0.23177021095917	0.102687095300968	-2.25705294594096	0.0240047665959578	-0.433033219426101	-0.0305072024922404
"category_stringendocrine"	-0.172095709204151	0.110930349258706	-1.55138526430489	0.120809384437891	-0.389515198543664	0.0453237801353613
"category_stringgenitourinary"	-0.0495600944962938	0.201626264795359	-0.245801778585716	0.805835680184708	-0.444740311832534	0.345620122839946
"category_stringinfectious diseases"	-0.378710127680632	0.324672983461197	-1.16643560435294	0.243438370298484	-1.01505748201775	0.257637226656482
"category_stringmetabolic/heme"	0.611242178641331	0.272265768075649	2.24502030850789	0.0247668288551564	0.0776110789899233	1.14487327829274
"category_stringmusculoskeletal"	-0.507840676972778	0.146642714196387	-3.46311563964008	0.000533958859803228	-0.795255115392897	-0.220426238552659
"category_stringneoplasms"	0.168564881806695	0.093531308006239	1.80222949298914	0.071509306302721	-0.0147531133124563	0.351882876925846
"category_stringneurological"	-0.238289479876727	0.116197897079749	-2.05072110481642	0.0402941144841874	-0.466033173232326	-0.0105457865211279
"category_stringpsychiatric"	-1.84410438400134	0.142197238041877	-12.9686371507318	1.84277681308209e-38	-2.12280584926449	-1.56540291873819
"category_stringrespiratory"	-0.74063902834352	0.113236688341505	-6.54062776994913	6.12611333603583e-11	-0.962578859221456	-0.518699197465585
"category_stringsense organs"	-0.588456321535501	0.133338670561195	-4.41324575277983	1.01832290968929e-05	-0.849795313581893	-0.327117329489109
"first_pub_date"	-0.000297355912976615	2.00847258689309e-05	-14.8050769981678	1.3583140152617e-49	-0.00033672125231908	-0.000257990573634151
"RAF"	0.141566347826742	0.0897159350011184	1.57793983671883	0.114579432008374	-0.0342736536147861	0.317406349268271
